iter	Passed	Remaining
0	139	139395
1	140	69936
2	140	46757
3	141	35162
4	141	28213
5	142	23571
6	142	20257
7	143	17773
8	143	15839
9	144	14289
10	144	13024
11	145	11970
12	145	11078
13	146	10311
14	146	9646
15	147	9071
16	148	8565
17	148	8111
18	149	7702
19	149	7333
20	150	7002
21	150	6701
22	151	6425
23	151	6172
24	152	5942
25	152	5729
26	153	5537
27	154	5355
28	154	5184
29	155	5029
30	156	4881
31	156	4741
32	157	4612
33	158	4490
34	158	4372
35	159	4260
36	159	4156
37	160	4056
38	160	3962
39	161	3871
40	162	3789
41	162	3707
42	163	3629
43	163	3555
44	164	3485
45	164	3417
46	165	3353
47	165	3290
48	166	3232
49	167	3184
50	168	3129
51	168	3079
52	169	3029
53	170	2980
54	170	2932
55	171	2885
56	171	2840
57	172	2798
58	172	2757
59	173	2716
60	173	2677
61	174	2639
62	175	2603
63	175	2567
64	176	2532
65	176	2499
66	177	2466
67	177	2431
68	178	2403
69	178	2372
70	179	2343
71	179	2314
72	180	2286
73	180	2260
74	181	2233
75	181	2207
76	182	2182
77	182	2157
78	183	2134
79	183	2112
80	184	2089
81	184	2068
82	185	2047
83	185	2027
84	186	2005
85	186	1985
86	187	1964
87	187	1944
88	188	1926
89	188	1909
90	189	1891
91	189	1873
92	190	1856
93	190	1840
94	191	1823
95	191	1807
96	192	1792
97	192	1776
98	193	1761
99	194	1746
100	194	1731
101	194	1715
102	195	1700
103	195	1687
104	196	1673
105	196	1660
106	197	1646
107	197	1633
108	198	1620
109	198	1608
110	199	1596
111	199	1584
112	200	1573
113	200	1561
114	201	1549
115	201	1537
116	202	1526
117	202	1515
118	203	1504
119	203	1493
120	204	1483
121	204	1473
122	205	1461
123	205	1452
124	206	1442
125	206	1433
126	207	1423
127	207	1413
128	207	1404
129	208	1394
130	208	1385
131	209	1377
132	209	1368
133	210	1359
134	210	1350
135	211	1342
136	211	1333
137	212	1325
138	212	1317
139	213	1310
140	213	1302
141	214	1294
142	214	1286
143	215	1279
144	215	1271
145	216	1264
146	216	1257
147	217	1250
148	217	1243
149	218	1236
150	218	1229
151	219	1222
152	219	1215
153	220	1209
154	220	1202
155	221	1196
156	221	1189
157	222	1183
158	222	1177
159	223	1172
160	223	1166
161	224	1160
162	224	1153
163	225	1147
164	225	1142
165	226	1136
166	226	1130
167	227	1124
168	227	1118
169	228	1113
170	228	1107
171	228	1102
172	229	1096
173	229	1091
174	230	1086
175	230	1080
176	231	1075
177	231	1070
178	232	1065
179	232	1060
180	233	1054
181	233	1049
182	234	1044
183	234	1039
184	234	1034
185	235	1030
186	235	1025
187	236	1020
188	236	1016
189	237	1011
190	237	1006
191	238	1002
192	238	997
193	239	993
194	239	988
195	239	984
196	240	980
197	240	975
198	241	971
199	241	967
200	242	963
201	242	959
202	243	955
203	243	951
204	244	947
205	244	943
206	245	939
207	245	935
208	246	931
209	246	927
210	247	923
211	247	919
212	247	916
213	248	912
214	248	908
215	249	905
216	249	901
217	250	898
218	250	894
219	251	891
220	251	887
221	252	884
222	252	880
223	253	877
224	253	873
225	254	870
226	254	866
227	254	863
228	255	860
229	255	856
230	256	853
231	256	850
232	257	846
233	257	843
234	258	840
235	258	837
236	259	834
237	259	831
238	260	828
239	260	825
240	261	822
241	261	819
242	261	816
243	262	813
244	262	810
245	263	807
246	263	804
247	264	801
248	264	798
249	265	795
250	265	792
251	266	790
252	266	787
253	267	784
254	267	781
255	268	779
256	268	776
257	269	773
258	269	771
259	269	768
260	270	765
261	270	762
262	271	760
263	271	757
264	272	755
265	272	752
266	273	750
267	273	747
268	274	745
269	274	742
270	275	740
271	275	737
272	276	735
273	276	732
274	276	730
275	277	727
276	277	725
277	278	723
278	278	720
279	279	718
280	280	716
281	280	714
282	280	711
283	281	709
284	281	707
285	282	704
286	282	702
287	283	700
288	283	698
289	284	695
290	284	693
291	285	691
292	285	689
293	286	687
294	286	684
295	287	682
296	287	680
297	288	678
298	288	676
299	288	674
300	289	672
301	289	669
302	290	667
303	290	665
304	291	663
305	291	661
306	292	659
307	292	657
308	293	655
309	293	653
310	294	651
311	294	649
312	295	647
313	295	645
314	295	643
315	296	641
316	296	639
317	297	637
318	297	635
319	298	633
320	298	631
321	299	629
322	299	627
323	300	625
324	300	624
325	300	622
326	301	620
327	301	618
328	302	616
329	302	615
330	303	613
331	303	611
332	304	609
333	304	607
334	305	606
335	305	604
336	306	602
337	306	601
